Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Projected_Fantasy_Pts,Actual_Fantasy_Pts,Difference_Fantasy_Pts
35499-14516,C,Enes,Enes Kanter,Kanter,28.89253804,67,5200,GS@POR,POR,GS,,,,26.5,13,-13.5
35499-12342,PF,Al-Farouq,Al-Farouq Aminu,Aminu,23.19753086,81,4000,GS@POR,POR,GS,,,,18.6,12.4,-6.2
35499-15860,PF,Draymond,Draymond Green,Green,31.43484775,66,8900,GS@POR,GS,POR,,,,41.5,66.6,25.1
35499-12355,PG,Eric,Eric Bledsoe,Bledsoe,33.21025516,78,5400,MIL@TOR,MIL,TOR,,,,25.1,27.3,2.2
35499-9703,PG,George,George Hill,Hill,16.11833293,60,5300,MIL@TOR,MIL,TOR,,,,22.6,43.4,20.8
35499-40199,SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,56.223285,73,12000,MIL@TOR,MIL,TOR,,,,58.5,57.1,-1.4
35499-14522,SF,Nikola,Nikola Mirotic,Mirotic,28.98478367,46,5200,MIL@TOR,MIL,TOR,,,,24,24,0
35499-9664,SG,Andre,Andre Iguodala,Iguodala,19.10882389,68,6000,GS@POR,GS,POR,,,,28.5,14,-14.5
35499-19067,SG,CJ,CJ McCollum,McCollum,32.28428432,70,7900,GS@POR,POR,GS,,,,39.3,39.1,-0.2
